Model,Images Processed,Errors,Avg Confidence,Min Confidence,Max Confidence,Confidence StdDev,Avg Processing Time,Min Processing Time,Max Processing Time
Current VaricoseVeinDetector,9,0,51.02222222222221,0.0,57.4,18.039079662270144,0.41733378834194607,0.010995864868164062,0.6470065116882324
Advanced VaricoseVeinDetector,9,0,80.0,0.0,90.0,28.284271247461902,29.59025682343377,0.0,33.47271537780762
